"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
father_alive,demographics,,radio,"Biological father alive","0, No | 1, Yes",,,,,,,y,RH,,,,
dem_table8,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Cause of death of the biological father {father_death_cause}</td> </tr> <tr> <td style=""width: 99.7928%;"">Age of the biological father at the time of his death {father_death_age}</td> </tr> </tbody> </table></div>",,,,,,,"[father_alive] = '0'",,,,,,
father_death_cause,demographics,,text,"Cause of the death of the father",BIOPORTAL:SNOMEDCT,,,,,,,y,RH,,,,
father_death_age,demographics,,text,"Age of the father at the time of his death",,,integer,10,150,,,y,RH,,,,
dem_table7,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Is the biological mother alive? {mother_alive}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
mother_alive,demographics,,radio,"Biological mother alive","0, No | 1, Yes",,,,,,,y,RH,,,,
dem_table9,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Cause of death of the biological mother {mother_death_cause}</td> </tr> <tr> <td style=""width: 99.7928%;"">Age of the biological mother at the time of her death {mother_death_age}</td> </tr> </tbody> </table></div>",,,,,,,"[mother_alive] = '0'",,,,,,
mother_death_cause,demographics,,text,"Cause of the death of the mother",BIOPORTAL:SNOMEDCT,,,,,,,y,RH,,,,
mother_death_age,demographics,,text,"Age of the mother at the time os his death",,,integer,10,150,,,y,RH,,,,
dem_table5,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Is there a family pedigree (family tree) available? {fam_tree}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
fam_tree,demographics,,radio,"Family tree","0, No | 1, Yes",,,,,,,y,RH,,,,
dem_table14,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Add advanced information about family demographics? {adv_fam}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
adv_fam,demographics,,radio,"Advanced information Family Demographics","0, No | 1, Yes",,,,,,,y,RH,,,,
adv_fam_twin,demographics,,radio,"Does the patient have a twin sibling?","0, No | 1, Yes | 98, Unknown",,,,,,[adv_fam]=1,y,RH,,,,
adv_fam_twintype,demographics,,radio,"Type of twin sibling:","0, Non-identical | 1, Identical | 98, Unknown",,,,,,[adv_fam_twin]=1,y,RH,,,,
adv_fam_twinsex,demographics,,radio,"Sex of the twin sibling:","1, Male | 2, Female | 98, Unknown",,,,,,[adv_fam_twin]=1,y,RH,,,,
adv_fam_sons,demographics,,text,"<div class=""rich-text-field-label""><p>Number of sons:</p></div>",,,integer,0,20,,[adv_fam]=1,y,RH,,,,
dem_table10,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Has any of the sons died? {son_died}</td> </tr> </tbody> </table></div>",,,,,,,"[adv_fam_sons]<> """"",,,,,,
son_died,demographics,,radio,"Son died","0, No | 1, Yes",,,,,,,y,RH,,,,
son_death_cause,demographics,,text,"Cause of the death of the son",BIOPORTAL:SNOMEDCT,,,,,,[son_died]=1,y,RH,,,,
son_death_age,demographics,,text,"Age of the son at the time of his death",,,integer,0,150,,[son_died]=1,y,RH,,,,
adv_fam_daughters,demographics,,text,"<div class=""rich-text-field-label""><p>Number of daughters:</p></div>",,,integer,0,20,,[adv_fam]=1,y,RH,,,,
dem_table11,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Has any of the daughters died? {daughter_died}</td> </tr> </tbody> </table></div>",,,,,,,"[adv_fam_daughters]<> """"",,,,,,
daughter_died,demographics,,radio,"Daughter died","0, No | 1, Yes",,,,,,,y,RH,,,,
daughter_death_cause,demographics,,text,"Cause of the death of the daughter",BIOPORTAL:SNOMEDCT,,,,,,[daughter_died]=1,y,RH,,,,
daughter_death_age,demographics,,text,"Age of the daughter at the time of her death",,,integer,0,150,,[daughter_died]=1,y,RH,,,,
adv_fam_brothers,demographics,,text,"<div class=""rich-text-field-label""><p>Number of brothers:</p></div>",,,integer,0,20,,[adv_fam]=1,y,RH,,,,
dem_table12,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Has any of the brothers died? {brother_died}</td> </tr> </tbody> </table></div>",,,,,,,"[adv_fam_brothers]<> """"",,,,,,
brother_died,demographics,,radio,"Brother died","0, No | 1, Yes",,,,,,,y,RH,,,,
brother_death_cause,demographics,,text,"Cause of the death of the brother",BIOPORTAL:SNOMEDCT,,,,,,[brother_died]=1,y,RH,,,,
brother_death_age,demographics,,text,"Age of the brother at the time of his death",,,integer,0,150,,[brother_died]=1,y,RH,,,,
adv_fam_sisters,demographics,,text,"<div class=""rich-text-field-label""><p>Number of sisters:</p></div>",,,integer,0,20,,[adv_fam]=1,y,RH,,,,
dem_table13,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Has any of the sisters died? {sister_died}</td> </tr> </tbody> </table></div>",,,,,,,"[adv_fam_sisters]<> """"",,,,,,
sister_died,demographics,,radio,"Sister died","0, No | 1, Yes",,,,,,,y,RH,,,,
sister_death_cause,demographics,,text,"Cause of the death of the sister",BIOPORTAL:SNOMEDCT,,,,,,[sister_died]=1,y,RH,,,,
sister_death_age,demographics,,text,"Age of the sister at the time of her death",,,integer,0,150,,[sister_died]=1,y,RH,,,,
adv_fam_funcles,demographics,,text,"<div class=""rich-text-field-label""><p>Number of paternal uncles (father's brothers):</p></div>",,,integer,0,20,,[adv_fam]=1,y,RH,,,,
adv_fam_faunts,demographics,,text,"<div class=""rich-text-field-label""><p>Number of paternal aunts (father's sisters):</p></div>",,,integer,0,20,,[adv_fam]=1,y,RH,,,,
adv_fam_muncles,demographics,,text,"<div class=""rich-text-field-label""><p>Number of maternal uncles (mother's brothers):</p></div>",,,integer,0,20,,[adv_fam]=1,y,RH,,,,
adv_fam_maunts,demographics,,text,"<div class=""rich-text-field-label""><p>Number of maternal aunts (mother's sisters):</p></div>",,,integer,0,20,,[adv_fam]=1,y,RH,,,,
sex,demographics,,radio,Sex,"1, Male | 2, Female | 98, Unknown",,,,,,,y,LH,,,,
dob,demographics,,text,"Date of Birth",,,date_dmy,,today,y,,y,,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
res_start_date_curr,demographics,,text,"<div class=""rich-text-field-label""><p>Start date of current residency</p></div>",,,date_dmy,[basic_arm_1][dob],today,y,,y,RH,,,,
res_start_date_curr_age,demographics,,calc,"Start age of current residency","round(datediff([res_start_date_curr],[dob],'y'),2)",,,,,,,,RH,,,," @HIDDEN"
res_start_date_life,demographics,,text,"<div class=""rich-text-field-label""><p>Start date of residence where the patient has lived most of the life</p></div>",,,date_dmy,[basic_arm_1][dob],today,y,,y,RH,,,,
res_start_date_life_age,demographics,,calc,"Start age of residence where the patient has lived most of the life","round(datediff([res_start_date_life],[dob],'y'),2)",,,,,,,,RH,,,," @HIDDEN"
res_end_date_life,demographics,,text,"<div class=""rich-text-field-label""><p>End date of residence where the patient has lived most of the life</p></div>",,,date_dmy,[basic_arm_1][dob],today,y,,y,RH,,,,
res_end_date_life_age,demographics,,calc,"End age of residence where the patient has lived most of the life","round(datediff([res_end_date_life],[dob],'y'),2)",,,,,,,,RH,,,," @HIDDEN"
cp_current,demographics,,text,"Postal code of current residence",,,number,0,100000,,,y,,,,,
res_type_current,demographics,,radio,"Type of Residential Area","1, Urban | 2, Semi-urban | 3, Rural",,,,,,,y,RH,,,,
cp_life,demographics,,text,"Postal code of the residence where the patient has lived most of the life",,,number,0,100000,,,y,,,,,
res_type_life,demographics,,radio,"Type of Residential Area where the patient has lived most of the life:","1, Urban | 2, Semi-urban | 3, Rural",,,,,,,y,RH,,,,
country_origin,demographics,,dropdown,"Country of origin","AF, Afghanistan | AL, Albania | DZ, Algeria | AD, Andorra | AO, Angola | AG, Antigua and Barbuda | AR, Argentina | AM, Armenia | AU, Australia | AT, Austria | AZ, Azerbaijan | BS, Bahamas | BH, Bahrain | BD, Bangladesh | BB, Barbados | BY, Belarus | BE, Belgium | BZ, Belize | BJ, Benin | BT, Bhutan | BO, Bolivia | BA, Bosnia and Herzegovina | BW, Botswana | BR, Brazil | BN, Brunei | BG, Bulgaria | BF, Burkina Faso | BI, Burundi | CV, Cabo Verde | KH, Cambodia | CM, Cameroon | CA, Canada | CF, Central African Republic | TD, Chad | CL, Chile | CN, China | CO, Colombia | KM, Comoros | CD, Congo (Democratic Republic) | CG, Congo (Republic) | CR, Costa Rica | CI, Côte d'Ivoire | HR, Croatia | CU, Cuba | CY, Cyprus | CZ, Czech Republic | DK, Denmark | DJ, Djibouti | DM, Dominica | DO, Dominican Republic | EC, Ecuador | EG, Egypt | SV, El Salvador | GQ, Equatorial Guinea | ER, Eritrea | EE, Estonia | SZ, Eswatini | ET, Ethiopia | FJ, Fiji | FI, Finland | FR, France | GA, Gabon | GM, Gambia | GE, Georgia | DE, Germany | GH, Ghana | GR, Greece | GD, Grenada | GT, Guatemala | GN, Guinea | GW, Guinea-Bissau | GY, Guyana | HT, Haiti | HN, Honduras | HU, Hungary | IS, Iceland | IN, India | ID, Indonesia | IR, Iran | IQ, Iraq | IE, Ireland | IL, Israel | IT, Italy | JM, Jamaica | JP, Japan | JO, Jordan | KZ, Kazakhstan | KE, Kenya | KI, Kiribati | KP, Korea (North) | KR, Korea (South) | KW, Kuwait | KG, Kyrgyzstan | LA, Laos | LV, Latvia | LB, Lebanon | LS, Lesotho | LR, Liberia | LY, Libya | LI, Liechtenstein | LT, Lithuania | LU, Luxembourg | MG, Madagascar | MW, Malawi | MY, Malaysia | MV, Maldives | ML, Mali | MT, Malta | MH, Marshall Islands | MR, Mauritania | MU, Mauritius | MX, Mexico | FM, Micronesia | MD, Moldova | MC, Monaco | MN, Mongolia | ME, Montenegro | MA, Morocco | MZ, Mozambique | MM, Myanmar | NA, Namibia | NR, Nauru | NP, Nepal | NL, Netherlands | NZ, New Zealand | NI, Nicaragua | NE, Niger | NG, Nigeria | MK, North Macedonia | NO, Norway | OM, Oman | PK, Pakistan | PW, Palau | PA, Panama | PG, Papua New Guinea | PY, Paraguay | PE, Peru | PH, Philippines | PL, Poland | PT, Portugal | QA, Qatar | RO, Romania | RU, Russia | RW, Rwanda | KN, Saint Kitts and Nevis | LC, Saint Lucia | VC, Saint Vincent and the Grenadines | WS, Samoa | SM, San Marino | ST, Sao Tome and Principe | SA, Saudi Arabia | SN, Senegal | RS, Serbia | SC, Seychelles | SL, Sierra Leone | SG, Singapore | SK, Slovakia | SI, Slovenia | SB, Solomon Islands | SO, Somalia | ZA, South Africa | SS, South Sudan | ES, Spain | LK, Sri Lanka | SD, Sudan | SR, Suriname | SE, Sweden | CH, Switzerland | SY, Syria | TW, Taiwan | TJ, Tajikistan | TZ, Tanzania | TH, Thailand | TL, Timor-Leste | TG, Togo | TO, Tonga | TT, Trinidad and Tobago | TN, Tunisia | TR, Turkey | TM, Turkmenistan | TV, Tuvalu | UG, Uganda | UA, Ukraine | AE, United Arab Emirates | GB, United Kingdom | US, United States | UY, Uruguay | UZ, Uzbekistan | VU, Vanuatu | VA, Vatican City | VE, Venezuela | VN, Vietnam | YE, Yemen | ZM, Zambia | ZW, Zimbabwe",,,,,,,y,RH,,,,
province_origin,demographics,,text,"Province / Region of origin:",,,alpha_only,,,,,y,RH,,,,
ethnicity,demographics,,sql,Ethnicity,"select record, value from redcap_data where project_id = 124 and field_name = 'etnia_en' order by value",,autocomplete,,,y,,y,,,,," @COLUMNS=3 @DEFAULT='8'"
ethnicity_2_yn,demographics,,yesno,"Is there a secondary ethnicity?",,,,,,,,y,RH,,,,
ethnicity_2,demographics,,sql,"Secondary Ethnicity","select record, value from redcap_data where project_id = 124 and field_name = 'etnia_en' order by value",,autocomplete,,,y,,y,,,,," @COLUMNS=3 @DEFAULT='8'"
consanguinity,demographics,,radio,Consanguinity,"0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
consanguinity_type,demographics,,dropdown,"Type of biological relationship between parents","1, Brothers | 2, Half brothers | 3, Cousins | 4, Uncle-niece | 5, Aunt-nephew | 99, Other",,,,,,,y,RH,,,,
dem_tbl07,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 28.1944px; background-color: #003b75;"" border=""1""> <tbody> <tr style=""height: 28.1944px;""> <td style=""width: 99.9293%;"" colspan=""2""><span style=""text-align: center; color: #ffffff;""><span style=""font-size: 12pt;"">PERSONAL HISTORY AND RISK FACTORS</span></span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 24.8611px;"" border=""0""><colgroup><col style=""width: 99.8586%;""></colgroup> <tbody> <tr> <td>Dominance:   {dominance}</td> </tr> <tr> <td>Has the patient smoked?   {smoke}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
dominance,demographics,,radio,Dominance,"1, Right | 2, Left | 3, Ambidextrous",,,,,,,y,LH,,,,
smoke,demographics,,radio,"Has the patient smoked?","0, No | 1, Yes, but ex-smoker | 2, Yes, currently smokes",,,,,,,y,RH,,,,
dem_tbl05,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 24.8611px;"" border=""0""><colgroup><col style=""width: 99.8586%;""></colgroup> <tbody> <tr> <td>Age the patient started smoking:  {start_smoke_age}</td> </tr> <tr> <td>Number of cigarettes per day:  {cigar_smoked}</td> </tr> </tbody> </table></div>",,,,,,,"[smoke] = '1' or [smoke] = '2'",,,,,,
start_smoke_age,demographics,,text,"<div class=""rich-text-field-label""><p>Age the patient started smoking</p></div>",,,integer,5,80,,,y,RH,,,,
dem_tbl06,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 24.8611px;"" border=""0""><colgroup><col style=""width: 99.8586%;""></colgroup> <tbody> <tr> <td>Age the patient stopped smoking:  {end_smoke_age}</td> </tr> </tbody> </table></div>",,,,,,,"[smoke] = '1'",,,,,,
cigar_smoked,demographics,,text,"<div class=""rich-text-field-label""><p>Number of cigarettes per day</p></div>",,,number,1,100,,"[smoke] = '1' or [smoke] = '2'",y,RH,,,,
end_smoke_age,demographics,,text,"<div class=""rich-text-field-label""><p>Age the patient stopped smoking</p></div>",,,integer,10,100,,,y,RH,,,,
